product_id,product_name,category,price,active
P00108,Classic Running Shoes,Sports,14347.63,Y
P00109,Mini Planner,Books,3646.7,Y
P00110,Classic Cycling Helmet,Sports,9433.9,Y
P00111,Ultra Laptop Stand,Electronics,9070.02,Y
P00112,Max Running Shoes,Sports,7810.47,Y
P00113,Ultra Notebook Set,Books,13810.57,Y
P00114,Plus Running Shoes,Sports,2567.88,Y
P00115,Classic Face Serum,Beauty,10635.38,Y
P00116,Smart Blender,Home & Kitchen,15959.01,Y
P00117,Classic Cricket Bat,Sports,6333.74,Y
P00118,Plus Laptop Stand,Electronics,5621.04,Y
P00119,Smart Sunscreen,Beauty,14522.12,Y
P00120,Mini Comic Bundle,Books,13556.62,Y
