customer_id,lifetime_spend,total_orders,last_order_date,spend_segment,activity_segment
C00018,172074.01,4,2024-11-08,VIP,Active
C00122,171537.13,5,2024-02-05,VIP,At Risk / Churn Candidate
C00324,171331.43000000002,3,2024-12-06,VIP,Active
C00103,168823.81000000003,4,2024-09-22,VIP,Cooling Off
C00277,166371.54,4,2024-12-31,VIP,Active
C00274,159061.75999999998,3,2024-10-28,VIP,Active
C00093,157746.05000000002,4,2024-05-12,VIP,At Risk / Churn Candidate
C00057,156025.03000000003,4,2024-11-04,VIP,Active
C00366,156010.03,3,2023-10-04,VIP,At Risk / Churn Candidate
C00400,154444.5,5,2024-12-25,VIP,Active
C00198,149352.13,2,2023-12-17,VIP,At Risk / Churn Candidate
C00029,148271.07,2,2024-07-30,VIP,Cooling Off
C00346,146363.43,4,2024-03-29,VIP,At Risk / Churn Candidate
C00230,144640.98,4,2024-08-06,VIP,Cooling Off
C00237,137922.18,3,2023-07-03,VIP,At Risk / Churn Candidate
C00256,135923.62,3,2024-07-10,VIP,Cooling Off
C00081,134661.79,4,2023-08-09,VIP,At Risk / Churn Candidate
C00293,134006.99,4,2024-07-21,VIP,Cooling Off
C00095,133260.74,3,2023-07-28,VIP,At Risk / Churn Candidate
C00074,130901.39,1,2023-07-04,VIP,At Risk / Churn Candidate
C00371,130252.86,2,2024-12-14,VIP,Active
C00027,129496.94,4,2024-12-28,VIP,Active
C00236,126935.33999999998,5,2024-11-14,VIP,Active
C00309,126659.25,4,2024-03-06,VIP,At Risk / Churn Candidate
C00096,122338.31,2,2024-10-21,VIP,Active
C00248,120714.0,3,2024-10-29,VIP,Active
C00036,119252.62000000002,4,2024-09-11,VIP,Cooling Off
C00352,112955.18,3,2023-07-20,VIP,At Risk / Churn Candidate
C00257,111760.06,5,2024-12-16,VIP,Active
C00187,107818.54,2,2024-02-17,VIP,At Risk / Churn Candidate
C00183,106512.68,3,2024-02-28,VIP,At Risk / Churn Candidate
C00360,97983.85,4,2024-12-04,VIP,Active
C00086,95799.76000000001,4,2024-10-02,VIP,Active
C00200,94426.28000000001,3,2024-12-01,VIP,Active
C00303,92757.27999999998,3,2024-01-13,VIP,At Risk / Churn Candidate
C00291,92500.08,3,2024-02-21,VIP,At Risk / Churn Candidate
C00106,85452.38,2,2024-12-02,VIP,Active
C00383,85078.71,3,2024-10-02,VIP,Active
C00207,81890.24,2,2023-12-09,VIP,At Risk / Churn Candidate
C00379,81405.02,2,2024-06-19,VIP,At Risk / Churn Candidate
C00045,76050.52,2,2023-12-26,VIP,At Risk / Churn Candidate
C00130,75261.79,3,2024-03-16,VIP,At Risk / Churn Candidate
C00365,63394.6,2,2024-08-15,VIP,Cooling Off
C00142,62820.0,2,2024-04-10,VIP,At Risk / Churn Candidate
C00155,58653.700000000004,2,2023-06-26,VIP,At Risk / Churn Candidate
C00267,58589.619999999995,2,2024-08-08,VIP,Cooling Off
C00374,55771.64,3,2024-11-28,VIP,Active
C00120,54693.32,1,2023-02-09,VIP,At Risk / Churn Candidate
C00131,44833.9,2,2024-06-02,Gold,At Risk / Churn Candidate
C00287,43359.2,3,2024-09-11,Gold,Cooling Off
C00039,20564.07,1,2023-10-26,Gold,At Risk / Churn Candidate
C00208,14856.86,2,2023-07-03,Silver,At Risk / Churn Candidate
C00104,8564.03,1,2023-01-09,Silver,At Risk / Churn Candidate
C00175,0.0,0,,No Purchase,Never Purchased
