product_id,product_name,category,price,active,effective_start,effective_end,is_current
P00088,Pro Cookbook,Books,12723.95,Y,2024-06-01,,True
P00089,Pro Running Shoes,Sports,5537.28,Y,2024-01-01,,True
P00090,Mini Running Shoes,Sports,13515.98,Y,2024-01-01,,True
P00091,Lite Sneakers,Fashion,4946.59,Y,2024-01-01,,True
P00092,Mini Puzzle Set,Toys,11714.03,Y,2024-01-01,,True
P00093,Smart Sneakers,Fashion,3538.97,Y,2024-01-01,2024-06-01,False
P00093,Smart Sneakers,Fashion,3592.91,Y,2024-06-01,,True
P00094,Ultra Cereal Box,Grocery,13171.07,Y,2024-01-01,,True
P00095,Mini Blender,Home & Kitchen,11410.2,Y,2024-01-01,2024-06-01,False
P00095,Mini Blender,Home & Kitchen,13673.3,Y,2024-06-01,,True
P00096,Pro Almonds 500g,Grocery,2944.05,Y,2024-01-01,2024-06-01,False
P00096,Pro Almonds 500g,Grocery,2680.0,Y,2024-06-01,,True
P00097,Plus Face Serum,Beauty,721.52,Y,2024-01-01,,True
P00098,Plus Bluetooth Speaker,Electronics,4527.84,Y,2024-01-01,2024-06-01,False
P00098,Plus Bluetooth Speaker,Electronics,5645.94,Y,2024-06-01,,True
P00099,Classic Board Game,Toys,10238.47,Y,2024-01-01,,True
P00100,Plus T-Shirt,Fashion,6083.97,Y,2024-01-01,2024-06-01,False
P00100,Plus T-Shirt,Fashion,6005.29,N,2024-06-01,,True
P00101,Smart RC Car,Toys,9471.71,Y,2024-01-01,,True
P00102,Lite Notebook Set,Books,13433.93,Y,2024-01-01,,True
P00103,Mini Yoga Mat,Sports,632.72,Y,2024-01-01,,True
P00104,Plus Smartwatch,Electronics,13741.36,Y,2024-01-01,2024-06-01,False
P00104,Plus Smartwatch,Electronics,17106.3,Y,2024-06-01,,True
P00105,Mini Lipstick,Beauty,10494.08,Y,2024-01-01,,True
P00106,Smart Earbuds,Electronics,14600.94,Y,2024-01-01,,True
P00107,Pro Table Lamp,Home & Kitchen,3734.57,Y,2024-01-01,,True
P00108,Classic Running Shoes,Sports,14347.63,Y,2024-01-01,2024-06-01,False
P00108,Classic Running Shoes,Sports,17319.57,Y,2024-06-01,,True
P00109,Mini Planner,Books,3646.7,Y,2024-01-01,,True
P00110,Classic Cycling Helmet,Sports,9433.9,Y,2024-01-01,,True
P00111,Ultra Laptop Stand,Electronics,9070.02,Y,2024-01-01,,True
P00112,Max Running Shoes,Sports,7810.47,Y,2024-01-01,,True
P00113,Ultra Notebook Set,Books,13810.57,Y,2024-01-01,2024-06-01,False
P00113,Ultra Notebook Set,Books,17189.46,Y,2024-06-01,,True
P00114,Plus Running Shoes,Sports,2567.88,Y,2024-01-01,,True
P00115,Classic Face Serum,Beauty,10635.38,Y,2024-01-01,,True
P00116,Smart Blender,Home & Kitchen,15959.01,Y,2024-01-01,2024-06-01,False
P00116,Smart Blender,Home & Kitchen,14479.44,Y,2024-06-01,,True
P00117,Classic Cricket Bat,Sports,6333.74,Y,2024-01-01,2024-06-01,False
P00117,Classic Cricket Bat,Sports,7568.55,Y,2024-06-01,,True
P00118,Plus Laptop Stand,Electronics,5621.04,Y,2024-01-01,,True
P00119,Smart Sunscreen,Beauty,14522.12,Y,2024-01-01,,True
P00120,Mini Comic Bundle,Books,13556.62,Y,2024-01-01,,True
P00121,Pro Air Fryer,Home & Kitchen,273.47,Y,2024-06-01,,True
P00122,Lite Dumbbell Set,Sports,9304.21,Y,2024-06-01,,True
P00123,Max Bed Sheet Set,Home & Kitchen,2243.61,Y,2024-06-01,,True
P00124,Classic Cereal Box,Grocery,6977.6,Y,2024-06-01,,True
P00125,Pro Action Figure,Toys,795.06,Y,2024-06-01,,True
P00126,Pro Shampoo,Beauty,14292.7,Y,2024-06-01,,True
P00127,Pro Face Serum,Beauty,10100.65,Y,2024-06-01,,True
