payment_id,order_id,amount,method,payment_status,payment_date
PM000063,O000067,97066.94,Debit Card,Failed,2023-08-23
PM000064,O000068,83290.05,Credit Card,Success,2024-01-16
PM000065,O000069,67579.9,Credit Card,Refunded,2024-05-29
PM000066,O000070,66584.83,COD,Refunded,2023-01-09
PM000067,O000071,51393.43,Debit Card,Success,2024-03-05
PM000068,O000072,55948.68,Wallet,Success,2024-03-18
PM000069,O000073,14130.98,COD,Success,2024-06-13
PM000070,O000074,125333.99,UPI,Success,2023-08-09
PM000071,O000075,53380.69,UPI,Success,2024-10-27
PM000072,O000076,107037.19,Net Banking,Success,2024-08-08
PM000073,O000077,14491.96,COD,Success,2024-01-07
PM000074,O000078,52852.16,COD,Success,2024-12-18
PM000075,O000079,71657.52,UPI,Refunded,2024-02-11
PM000076,O000080,37379.4,COD,Success,2024-05-02
PM000077,O000081,169321.91,COD,Success,2024-07-31
PM000078,O000082,45256.86,COD,Success,2023-12-19
PM000079,O000083,11199.14,UPI,Success,2024-10-23
PM000080,O000084,1323.98,COD,Success,2024-12-11
PM000081,O000085,6822.91,UPI,Success,2024-04-11
PM000082,O000086,27734.92,Wallet,Success,2023-07-10
PM000083,O000088,6240.24,Debit Card,Success,2023-09-11
PM000084,O000089,15497.8,Net Banking,Pending,2023-11-16
PM000085,O000090,36384.48,UPI,Success,2024-01-05
PM000086,O000091,76210.65,Debit Card,Success,2023-10-10
PM000087,O000092,17648.44,Credit Card,Success,2024-12-05
PM000088,O000093,28983.92,COD,Success,2024-10-02
PM000089,O000094,25459.88,Wallet,Refunded,2024-10-22
PM000090,O000095,24054.96,COD,Success,2024-05-11
PM000091,O000096,70054.61,Net Banking,Success,2024-07-21
PM000092,O000097,103520.55,UPI,Pending,2024-01-08
PM000093,O000099,10636.45,COD,Success,2023-03-14
PM000094,O000100,11203.71,Credit Card,Success,2024-03-01
PM000095,O000102,68444.39,Net Banking,Success,2024-01-02
PM000096,O000103,61885.19,Debit Card,Refunded,2024-03-29
PM000097,O000104,10625.72,Debit Card,Success,2024-07-17
PM000098,O000105,82145.12,Credit Card,Failed,2023-01-23
PM000099,O000106,68901.95,UPI,Failed,2023-09-13
PM000100,O000107,65855.35,Wallet,Success,2024-12-20
PM000101,O000108,15620.94,Net Banking,Success,2023-02-27
PM000102,O000109,65964.06,Credit Card,Success,2023-01-12
PM000103,O000110,17551.4,COD,Success,2024-09-01
PM000104,O000111,145519.13,UPI,Failed,2023-03-29
PM000105,O000112,102899.42,Debit Card,Success,2023-11-28
PM000106,O000113,73399.78,COD,Refunded,2024-09-30
PM000107,O000114,44624.05,Net Banking,Success,2023-01-15
PM000108,O000115,7748.9,COD,Success,2024-05-09
PM000109,O000116,62479.77,UPI,Success,2024-12-14
PM000110,O000117,1323.98,UPI,Success,2024-06-04
PM000111,O000118,88194.46,Wallet,Success,2024-07-28
PM000112,O000119,96593.25,COD,Success,2023-10-10
PM000113,O000120,32788.74,Credit Card,Success,2024-10-02
PM000114,O000121,111018.46,Net Banking,Success,2024-12-06
PM000115,O000122,69227.82,Debit Card,Success,2023-05-02
PM000116,O000123,15720.6,Credit Card,Success,2024-08-03
PM000117,O000124,33289.6,UPI,Success,2023-05-18
PM000118,O000125,49805.48,UPI,Success,2023-10-04
PM000119,O000126,124699.41,Credit Card,Success,2024-12-05
PM000120,O000127,27621.14,COD,Success,2023-02-09
PM000121,O000128,76602.56,COD,Success,2023-02-10
PM000122,O000129,60030.16,UPI,Success,2024-04-07
PM000123,O000131,30068.99,Net Banking,Success,2024-11-06
PM000124,O000132,105788.97,Credit Card,Failed,2024-05-25
PM000125,O000133,1162.47,COD,Success,2024-07-24
PM000126,O000134,94589.17,Credit Card,Success,2023-11-02
PM000127,O000135,160180.75,UPI,Success,2023-02-06
PM000128,O000136,46429.26,Credit Card,Success,2024-08-08
PM000129,O000137,5516.66,Net Banking,Failed,2024-05-24
PM000130,O000138,31848.46,Credit Card,Success,2023-08-01
PM000131,O000140,83499.75,Net Banking,Refunded,2024-04-30
PM000132,O000141,45570.38,COD,Success,2023-11-20
PM000133,O000142,26735.43,UPI,Failed,2023-07-11
PM000134,O000143,93576.87,UPI,Failed,2023-08-10
PM000135,O000144,22559.64,Net Banking,Success,2024-06-12
PM000136,O000145,35292.55,Wallet,Success,2024-08-31
PM000137,O000146,44947.75,Net Banking,Success,2023-11-23
PM000138,O000147,88228.85,Credit Card,Success,2024-07-09
PM000139,O000148,57996.92,Debit Card,Success,2023-01-30
PM000140,O000149,61470.91,COD,Success,2024-09-02
PM000141,O000150,33022.41,Credit Card,Success,2024-04-24
PM000142,O000151,983.24,Debit Card,Success,2024-11-12
PM000143,O000152,176274.07,Debit Card,Success,2023-06-24
PM000144,O000153,20610.84,Wallet,Success,2023-09-07
PM000145,O000154,57051.0,UPI,Success,2024-03-17
PM000146,O000155,111981.49,COD,Success,2024-08-29
PM000147,O000156,58178.18,Net Banking,Success,2024-10-13
PM000148,O000157,65860.48,Debit Card,Success,2023-04-02
PM000149,O000158,60218.12,Debit Card,Success,2023-02-01
PM000150,O000159,19291.64,Credit Card,Success,2023-05-09
PM000151,O000160,69795.16,Credit Card,Success,2024-03-01
PM000152,O000161,61823.68,COD,Failed,2023-08-31
PM000153,O000162,11891.2,Credit Card,Success,2024-08-17
PM000154,O000164,99351.0,Wallet,Failed,2024-04-25
PM000155,O000165,83938.91,Wallet,Success,2023-02-22
PM000156,O000166,68068.87,Credit Card,Success,2023-06-04
PM000157,O000167,119500.83,Net Banking,Success,2024-09-01
PM000158,O000168,70289.82,Debit Card,Success,2023-02-23
PM000159,O000169,75435.15,COD,Success,2023-01-13
PM000160,O000170,52709.91,COD,Success,2024-09-17
PM000161,O000172,4385.48,Debit Card,Success,2023-10-18
PM000162,O000173,146410.03,Net Banking,Success,2023-05-05
PM000163,O000174,37957.94,Wallet,Success,2024-10-16
PM000164,O000175,67679.19,Wallet,Success,2023-09-29
PM000165,O000176,41402.44,UPI,Refunded,2023-04-19
PM000166,O000177,109860.45,Credit Card,Success,2023-12-04
PM000167,O000178,101043.64,Debit Card,Failed,2023-12-08
PM000168,O000179,62081.12,Wallet,Success,2024-12-13
PM000169,O000180,44237.93,Debit Card,Success,2023-09-02
PM000170,O000181,83565.18,Wallet,Success,2024-07-03
PM000171,O000182,140660.44,UPI,Success,2024-10-26
PM000172,O000183,107868.89,UPI,Success,2024-09-22
PM000173,O000184,4024.19,UPI,Success,2023-02-16
PM000174,O000185,112816.64,COD,Success,2024-08-18
PM000175,O000186,43119.36,UPI,Success,2024-12-11
PM000176,O000188,66227.98,Net Banking,Success,2024-06-03
PM000177,O000189,42024.79,Debit Card,Success,2024-11-17
PM000178,O000190,137194.11,COD,Pending,2023-02-23
PM000179,O000191,76339.96,Net Banking,Success,2023-11-30
PM000180,O000192,132636.97,UPI,Success,2023-05-29
PM000181,O000193,122972.36,Net Banking,Success,2024-04-14
PM000182,O000194,70463.85,Wallet,Success,2024-05-15
PM000183,O000195,88079.46,Debit Card,Refunded,2023-01-06
PM000184,O000196,17700.3,Wallet,Success,2024-01-03
PM000185,O000197,46081.65,Wallet,Failed,2024-08-07
PM000186,O000198,22066.64,Wallet,Success,2024-10-10
PM000187,O000199,98108.78,UPI,Success,2024-09-19
PM000188,O000201,81388.09,COD,Refunded,2024-08-17
PM000189,O000202,26028.88,UPI,Failed,2024-04-26
PM000190,O000203,107439.7,Wallet,Success,2023-03-20
PM000191,O000204,20564.07,Net Banking,Success,2023-10-26
PM000192,O000205,100011.84,Debit Card,Success,2024-05-12
PM000193,O000206,43863.55,Wallet,Failed,2023-02-18
PM000194,O000207,35039.51,Wallet,Pending,2024-11-13
PM000195,O000208,51441.37,Debit Card,Success,2023-11-21
PM000196,O000209,36889.34,Debit Card,Success,2023-05-29
PM000197,O000210,186630.66,UPI,Refunded,2023-05-23
PM000198,O000211,19001.22,UPI,Success,2024-11-24
PM000199,O000212,133742.85,UPI,Refunded,2024-03-13
PM000200,O000213,115870.11,Debit Card,Success,2023-05-23
PM000201,O000214,176490.24,Debit Card,Success,2024-04-18
PM000202,O000215,46676.85,Credit Card,Failed,2024-10-17
PM000203,O000216,10940.1,COD,Success,2024-03-22
PM000204,O000217,25292.74,UPI,Success,2023-05-30
PM000205,O000218,114652.17,UPI,Success,2024-10-05
PM000206,O000219,37973.08,Debit Card,Success,2023-01-14
PM000207,O000220,2064.92,UPI,Success,2024-09-20
PM000208,O000221,26457.66,Debit Card,Success,2023-05-15
PM000209,O000222,14385.32,Credit Card,Success,2023-05-09
PM000210,O000223,983.24,UPI,Success,2023-07-21
PM000211,O000224,53738.01,UPI,Success,2023-03-09
PM000212,O000225,52470.4,Debit Card,Success,2023-10-12
PM000213,O000226,53978.41,Wallet,Success,2023-08-11
PM000214,O000227,24456.06,Wallet,Success,2024-02-22
PM000215,O000228,112327.27,Credit Card,Success,2023-12-02
PM000216,O000229,130415.2,Debit Card,Success,2024-05-02
PM000217,O000230,156322.21,Debit Card,Success,2023-06-22
PM000218,O000231,15497.8,Net Banking,Success,2024-06-07
PM000219,O000232,53711.36,COD,Success,2023-05-18
PM000220,O000233,72120.02,Debit Card,Success,2024-05-19
PM000221,O000234,47650.25,Net Banking,Success,2024-04-15
PM000222,O000235,32665.28,COD,Success,2024-11-22
PM000223,O000236,21737.94,UPI,Success,2024-11-23
PM000224,O000237,37552.92,COD,Success,2024-08-20
PM000225,O000238,62378.0,Wallet,Success,2023-03-09
PM000226,O000239,178965.23,UPI,Success,2023-10-01
PM000227,O000240,71738.15,Net Banking,Success,2024-01-08
PM000228,O000241,58570.15,Net Banking,Failed,2023-02-18
PM000229,O000242,42209.16,Net Banking,Success,2023-10-07
PM000230,O000243,94678.95,Debit Card,Success,2024-03-19
PM000231,O000244,6240.24,UPI,Success,2024-06-29
PM000232,O000245,3953.6,UPI,Success,2023-09-04
PM000233,O000246,10897.69,Debit Card,Success,2023-10-21
PM000234,O000247,54358.38,COD,Success,2024-04-20
PM000235,O000248,63836.04,Net Banking,Pending,2023-01-21
PM000236,O000249,15600.6,COD,Pending,2024-11-04
PM000237,O000250,30715.41,UPI,Success,2023-09-15
PM000238,O000251,74370.15,Wallet,Success,2024-02-04
PM000239,O000252,83148.76,Debit Card,Success,2024-05-01
PM000240,O000253,45320.68,Credit Card,Success,2023-11-13
PM000241,O000254,62183.8,UPI,Success,2023-11-05
PM000242,O000255,29201.88,Wallet,Failed,2023-03-24
PM000243,O000256,25217.22,Net Banking,Success,2023-03-09
PM000244,O000257,89399.33,COD,Success,2023-06-11
PM000245,O000258,54333.42,COD,Success,2024-01-22
PM000246,O000259,64795.15,Debit Card,Success,2024-03-15
PM000247,O000260,69186.38,COD,Success,2024-11-20
PM000248,O000261,2726.91,Debit Card,Success,2023-07-31
PM000249,O000262,117869.46,Net Banking,Success,2023-08-30
PM000250,O000264,24255.5,Credit Card,Failed,2024-01-15
PM000251,O000265,33058.74,COD,Success,2024-06-27
PM000252,O000266,77950.7,Net Banking,Success,2024-09-19
PM000253,O000267,57826.41,Net Banking,Success,2024-03-22
PM000254,O000268,36211.25,UPI,Success,2024-07-30
PM000255,O000269,42392.94,Wallet,Success,2023-09-10
PM000256,O000271,56114.0,UPI,Success,2024-10-21
PM000257,O000272,110703.16,Debit Card,Refunded,2024-10-31
PM000258,O000273,201058.19,Debit Card,Success,2023-10-02
PM000259,O000274,115740.6,UPI,Failed,2023-03-27
PM000260,O000275,78979.36,UPI,Pending,2023-02-18
PM000261,O000276,47048.75,Net Banking,Success,2024-04-18
PM000262,O000277,45235.27,COD,Success,2023-08-05
PM000263,O000278,87013.8,Wallet,Pending,2024-04-16
PM000264,O000279,101759.48,Debit Card,Success,2024-12-13
PM000265,O000280,78288.14,Debit Card,Success,2024-04-19
PM000266,O000281,116883.18,Credit Card,Success,2024-03-18
PM000267,O000282,42590.5,Net Banking,Success,2024-06-24
PM000268,O000283,70387.72,Credit Card,Success,2023-12-19
PM000269,O000284,86034.14,Credit Card,Success,2024-10-30
PM000270,O000285,47161.8,Wallet,Failed,2024-05-20
PM000271,O000286,17979.1,COD,Success,2023-06-28
PM000272,O000287,97735.41,Net Banking,Success,2024-05-13
PM000273,O000288,7681.42,UPI,Pending,2023-04-24
PM000274,O000289,55125.48,Wallet,Success,2023-07-30
PM000275,O000290,52230.14,Net Banking,Success,2023-01-07
PM000276,O000291,114125.36,Credit Card,Success,2024-06-26
PM000277,O000292,18473.94,COD,Success,2023-12-13
PM000278,O000293,97994.64,COD,Success,2024-10-08
PM000279,O000294,104901.33,Net Banking,Success,2024-07-11
PM000280,O000295,52045.18,Wallet,Success,2024-06-07
PM000281,O000296,46783.5,Net Banking,Success,2024-10-04
PM000282,O000297,75145.18,Debit Card,Success,2024-08-18
PM000283,O000298,52455.69,Wallet,Success,2024-01-22
PM000284,O000299,65821.12,Wallet,Success,2024-05-02
PM000285,O000300,11074.56,UPI,Success,2024-12-29
PM000286,O000301,10774.53,COD,Refunded,2023-06-10
PM000287,O000302,75669.8,UPI,Success,2024-06-19
PM000288,O000303,17957.55,Net Banking,Success,2023-10-18
PM000289,O000304,56920.24,Wallet,Success,2024-03-03
PM000290,O000305,18202.16,UPI,Success,2024-11-11
PM000291,O000306,74064.35,Net Banking,Success,2023-04-01
PM000292,O000307,74192.69,UPI,Success,2024-07-08
PM000293,O000308,103377.37,COD,Success,2024-09-13
PM000294,O000309,58953.4,Credit Card,Success,2023-04-02
PM000295,O000310,10668.02,Debit Card,Failed,2024-01-20
PM000296,O000311,57633.05,Debit Card,Success,2024-04-20
PM000297,O000312,37230.52,Debit Card,Success,2023-04-14
PM000298,O000313,59168.32,Credit Card,Success,2024-04-07
PM000299,O000314,135115.59,Net Banking,Success,2023-12-26
PM000300,O000315,86547.3,Credit Card,Success,2024-07-23
PM000301,O000316,0.0,Wallet,Success,2024-09-05
PM000302,O000318,45063.04,COD,Pending,2024-03-31
PM000303,O000319,100868.05,COD,Success,2023-01-10
PM000304,O000320,160226.85,COD,Success,2024-09-12
PM000305,O000321,30856.33,Wallet,Refunded,2024-08-25
PM000306,O000322,64533.13,Debit Card,Pending,2024-03-13
PM000307,O000324,34889.38,UPI,Pending,2023-03-06
PM000308,O000325,387.92,Debit Card,Pending,2023-03-16
PM000309,O000326,58850.8,COD,Success,2023-03-08
PM000310,O000327,148977.39,Credit Card,Success,2023-04-15
PM000311,O000328,2192.74,Wallet,Success,2024-11-22
PM000312,O000329,63608.55,Credit Card,Success,2024-08-09
PM000313,O000330,15600.6,Debit Card,Success,2023-05-30
PM000314,O000331,14160.68,COD,Success,2023-02-28
PM000315,O000332,63349.99,Net Banking,Failed,2024-12-12
PM000316,O000333,50474.45,COD,Success,2024-10-16
PM000317,O000334,54357.77,UPI,Success,2023-04-28
PM000318,O000335,7192.66,Credit Card,Success,2024-07-21
PM000319,O000336,88249.81,Wallet,Refunded,2023-12-13
PM000320,O000337,105909.24,UPI,Success,2024-10-13
PM000321,O000339,40392.38,COD,Success,2024-04-30
PM000322,O000340,10426.0,COD,Success,2024-03-11
PM000323,O000341,100142.18,Debit Card,Success,2023-12-27
PM000324,O000342,3591.51,Credit Card,Success,2023-10-29
PM000325,O000343,112494.9,Wallet,Refunded,2023-07-25
PM000326,O000344,92513.71,UPI,Success,2023-11-03
PM000327,O000345,108294.61,Wallet,Success,2023-08-03
PM000328,O000346,82046.07,Wallet,Success,2024-01-19
PM000329,O000347,153261.28,Wallet,Success,2023-01-24
PM000330,O000348,144979.76,UPI,Success,2023-03-07
PM000331,O000349,15594.5,Wallet,Success,2023-10-18
PM000332,O000350,38476.63,COD,Success,2023-06-25
PM000333,O000351,46562.78,Credit Card,Success,2023-05-14
PM000334,O000352,11410.2,UPI,Success,2024-09-11
PM000335,O000353,81815.14,Credit Card,Success,2023-12-22
PM000336,O000354,64843.33,Wallet,Success,2024-02-07
PM000337,O000355,16622.89,Net Banking,Success,2024-07-20
PM000338,O000356,3874.45,Debit Card,Success,2024-04-17
PM000339,O000358,53176.9,Wallet,Success,2023-03-21
PM000340,O000359,35321.52,UPI,Success,2023-02-18
PM000341,O000360,18614.37,Credit Card,Success,2023-01-05
PM000342,O000361,9173.71,COD,Success,2024-11-27
PM000343,O000362,58333.09,Wallet,Success,2024-07-29
PM000344,O000363,67577.73,Credit Card,Success,2024-11-04
PM000345,O000364,92026.63,Wallet,Success,2024-12-11
PM000346,O000365,22283.39,UPI,Success,2023-05-08
PM000347,O000366,91622.73,Credit Card,Success,2024-01-20
PM000348,O000367,49192.84,COD,Success,2023-12-06
PM000349,O000368,8564.03,Debit Card,Success,2024-03-28
PM000350,O000369,39821.8,Net Banking,Success,2023-07-29
PM000351,O000370,79585.92,Credit Card,Refunded,2023-07-22
PM000352,O000371,18111.36,UPI,Success,2024-03-19
PM000353,O000372,91854.82,COD,Success,2023-11-04
PM000354,O000373,75037.18,UPI,Success,2024-01-19
PM000355,O000374,86976.22,Wallet,Failed,2023-06-16
PM000356,O000375,25317.85,Credit Card,Success,2023-01-29
PM000357,O000376,6240.24,Wallet,Success,2023-04-05
PM000358,O000377,65507.61,UPI,Success,2024-03-13
PM000359,O000378,15087.03,Net Banking,Success,2024-02-12
PM000360,O000379,62023.18,Wallet,Refunded,2024-06-21
PM000361,O000380,80634.25,COD,Pending,2024-08-03
PM000362,O000382,22752.7,UPI,Refunded,2023-04-14
PM000363,O000383,47577.51,Credit Card,Success,2023-04-10
PM000364,O000384,62378.0,Net Banking,Success,2024-02-13
PM000365,O000385,66480.86,Debit Card,Success,2023-01-27
PM000366,O000386,41224.08,Credit Card,Failed,2023-07-12
PM000367,O000387,144365.68,COD,Success,2024-09-13
PM000368,O000388,70058.32,Credit Card,Failed,2024-05-31
PM000369,O000389,52726.52,Net Banking,Success,2023-09-07
PM000370,O000390,18030.33,Wallet,Success,2023-06-14
PM000371,O000391,90954.92,COD,Failed,2024-10-10
PM000372,O000392,6875.53,Wallet,Success,2024-01-26
PM000373,O000393,2951.4,COD,Success,2023-07-12
PM000374,O000394,69705.55,Net Banking,Success,2024-02-02
PM000375,O000395,6578.22,UPI,Success,2023-08-13
PM000376,O000396,18972.46,Debit Card,Success,2023-05-07
PM000377,O000397,92507.97,Net Banking,Success,2023-08-04
PM000378,O000398,139444.29,Wallet,Success,2024-02-05
PM000379,O000399,35866.69,Debit Card,Success,2024-12-27
PM000380,O000400,62882.4,COD,Success,2023-04-15
PM000381,O000401,89845.86,Net Banking,Success,2023-05-01
PM000382,O000402,14366.04,COD,Success,2024-01-27
PM000383,O000403,67169.65,COD,Success,2023-08-19
PM000384,O000404,54271.97,Credit Card,Success,2024-10-22
PM000385,O000405,62413.87,Wallet,Pending,2024-05-15
PM000386,O000406,29901.3,Wallet,Success,2024-07-22
PM000387,O000407,8918.4,COD,Failed,2024-06-02
PM000388,O000408,26419.21,Credit Card,Success,2023-10-28
PM000389,O000409,89427.63,Net Banking,Success,2023-05-18
PM000390,O000410,114326.05,Debit Card,Success,2024-07-02
PM000391,O000411,72327.42,Net Banking,Success,2023-06-07
PM000392,O000412,28450.91,UPI,Refunded,2024-10-17
PM000393,O000413,144109.82,Credit Card,Success,2023-05-07
PM000394,O000414,26882.44,COD,Success,2024-02-03
PM000395,O000415,116506.91,Net Banking,Success,2024-10-16
PM000396,O000416,89400.37,Credit Card,Success,2023-11-09
PM000397,O000417,1801.57,Credit Card,Success,2023-01-11
PM000398,O000419,70522.32,COD,Refunded,2024-06-20
PM000399,O000420,16549.98,UPI,Success,2023-12-13
PM000400,O000421,54226.48,UPI,Success,2023-08-07
PM000401,O000422,81044.94,COD,Refunded,2023-02-28
PM000402,O000423,99040.63,Net Banking,Success,2023-07-22
PM000403,O000424,95904.49,UPI,Success,2023-04-22
PM000404,O000425,42871.71,UPI,Success,2024-11-13
PM000405,O000426,23587.99,UPI,Failed,2023-06-09
PM000406,O000427,32803.1,Wallet,Success,2024-09-24
PM000407,O000428,33401.65,Credit Card,Success,2024-09-17
PM000408,O000429,80193.4,COD,Success,2024-03-12
PM000409,O000430,0.0,Net Banking,Success,2023-04-23
PM000410,O000431,24839.93,Credit Card,Success,2023-11-26
PM000411,O000432,37327.66,Net Banking,Success,2024-11-30
PM000412,O000433,167521.18,Debit Card,Success,2023-05-04
PM000413,O000434,75941.55,Credit Card,Success,2024-03-04
PM000414,O000435,26867.86,UPI,Success,2023-01-23
PM000415,O000436,59536.93,Wallet,Success,2024-05-21
PM000416,O000438,63046.18,UPI,Failed,2024-06-21
PM000417,O000439,35591.38,Debit Card,Success,2023-05-17
PM000418,O000440,43802.82,Wallet,Success,2023-03-27
PM000419,O000441,168038.45,UPI,Success,2023-06-30
PM000420,O000442,93760.16,UPI,Success,2024-03-20
PM000421,O000443,94046.7,UPI,Success,2024-02-08
PM000422,O000444,14600.94,Wallet,Failed,2023-01-13
PM000423,O000445,13433.93,Credit Card,Refunded,2023-02-14
PM000424,O000446,115505.25,Net Banking,Success,2024-07-09
PM000425,O000447,88486.45,Debit Card,Success,2023-01-22
PM000426,O000448,88111.37,COD,Success,2023-04-26
PM000427,O000449,104578.38,COD,Success,2024-06-27
PM000428,O000450,29359.76,Wallet,Pending,2023-03-20
PM000429,O000451,43601.84,COD,Refunded,2024-08-14
PM000430,O000452,71694.4,Debit Card,Failed,2024-02-28
PM000431,O000453,67155.0,Net Banking,Success,2023-01-18
PM000432,O000454,27031.96,Credit Card,Success,2023-09-06
PM000433,O000455,36630.81,Net Banking,Success,2024-12-13
PM000434,O000456,12796.63,COD,Success,2024-03-02
PM000435,O000457,162123.9,Debit Card,Success,2023-02-02
PM000436,O000458,71316.89,Net Banking,Success,2024-06-18
PM000437,O000459,75730.27,UPI,Success,2024-05-03
PM000438,O000460,2164.56,Wallet,Failed,2023-06-16
PM000439,O000461,73294.55,Net Banking,Success,2024-10-15
PM000440,O000462,48671.65,UPI,Success,2023-12-31
PM000441,O000463,16745.58,UPI,Success,2024-11-29
PM000442,O000464,52982.9,Debit Card,Success,2024-06-12
PM000443,O000465,34114.55,UPI,Success,2024-11-30
PM000444,O000466,605.62,UPI,Pending,2023-04-10
PM000445,O000467,128934.76,Net Banking,Success,2023-10-30
PM000446,O000468,78418.1,Credit Card,Success,2023-05-07
PM000447,O000469,22820.4,Credit Card,Failed,2024-02-28
PM000448,O000470,22662.2,Wallet,Success,2023-01-09
PM000449,O000471,79047.54,UPI,Success,2024-04-22
PM000450,O000472,64655.37,Credit Card,Success,2023-11-21
PM000451,O000473,18111.36,Debit Card,Success,2024-03-16
PM000452,O000474,47080.64,COD,Success,2023-06-30
PM000453,O000475,76697.38,Net Banking,Success,2023-08-08
PM000454,O000476,84088.76,COD,Success,2024-12-14
PM000455,O000477,38096.94,UPI,Success,2023-11-21
PM000456,O000478,21797.0,Net Banking,Success,2023-01-04
PM000457,O000479,23983.58,Credit Card,Success,2024-03-06
PM000458,O000480,79259.83,Wallet,Success,2024-05-29
PM000459,O000481,66826.81,UPI,Success,2023-07-01
PM000460,O000482,13651.62,Net Banking,Success,2024-09-30
PM000461,O000483,136444.53,Net Banking,Success,2023-08-17
PM000462,O000484,12959.03,Wallet,Success,2024-11-20
PM000463,O000485,122332.67,Credit Card,Success,2024-06-15
PM000464,O000486,87099.93,COD,Success,2024-06-13
PM000465,O000487,30895.76,UPI,Success,2024-08-30
PM000466,O000488,93106.92,Debit Card,Success,2023-05-14
PM000467,O000489,24984.52,UPI,Failed,2023-02-22
PM000468,O000490,88766.55,COD,Success,2023-04-20
PM000469,O000491,88335.47,UPI,Pending,2023-08-04
PM000470,O000492,93330.17,COD,Pending,2023-12-18
PM000471,O000493,48639.29,Debit Card,Success,2023-04-28
PM000472,O000494,73811.23,COD,Success,2024-10-29
PM000473,O000495,62172.61,Net Banking,Success,2024-05-14
PM000474,O000496,102396.58,UPI,Success,2023-03-07
PM000475,O000497,35142.09,Net Banking,Success,2023-08-09
PM000476,O000498,48490.8,Net Banking,Failed,2023-11-26
PM000477,O000499,46335.28,COD,Success,2024-03-07
PM000478,O000500,91972.77,COD,Success,2024-10-21
