order_id,customer_id,order_date,status,delivery_date,is_delivery_date_corrected,delivery_days
O000064,C00398,2024-01-22,Delivered,2024-01-28,False,6.0
O000065,C00278,2023-12-28,Delivered,2024-01-02,False,5.0
O000066,C00086,2024-05-02,Delivered,2024-05-07,False,5.0
O000067,C00225,2023-08-23,Cancelled,,False,
O000068,C00003,2024-01-16,Delivered,2024-01-26,False,10.0
O000069,C00114,2024-05-29,Delivered,2024-06-01,False,3.0
O000070,C00007,2023-01-09,Delivered,2023-01-11,False,2.0
O000071,C00201,2024-03-05,Delivered,2024-03-13,False,8.0
O000072,C00239,2024-03-18,Shipped,,False,
O000073,C00287,2024-06-13,Delivered,2024-06-18,False,5.0
O000074,C00068,2023-08-09,Delivered,2023-08-17,False,8.0
O000075,C00322,2024-10-27,Delivered,2024-11-01,False,5.0
O000076,C00009,2024-08-08,Cancelled,,False,
O000077,C00241,2024-01-07,Delivered,2024-01-10,False,3.0
O000078,C00304,2024-12-18,Shipped,,False,
O000079,C00227,2024-02-11,Delivered,2024-02-21,False,10.0
O000080,C00228,2024-05-02,Returned,2024-05-07,False,5.0
O000081,C00070,2024-07-31,Delivered,2024-08-05,False,5.0
O000082,C00035,2023-12-19,Delivered,2023-12-27,False,8.0
O000083,C00294,2024-10-23,Cancelled,,False,
O000084,C00009,2024-12-11,Delivered,2024-12-16,False,5.0
O000085,C00053,2024-04-11,Delivered,2024-04-19,False,8.0
O000086,C00028,2023-07-10,Delivered,2023-07-11,False,1.0
O000087,C00396,2024-01-16,Delivered,2024-01-19,False,3.0
O000088,C00398,2023-09-11,Shipped,,False,
O000089,C00057,2023-11-16,Shipped,,False,
O000090,C00177,2024-01-05,Cancelled,,False,
O000091,C00066,2023-10-10,Shipped,,False,
O000092,C00145,2024-12-05,Shipped,,False,
O000093,C00383,2024-10-02,Placed,,False,
O000094,C00147,2024-10-22,Cancelled,,False,
O000095,C00266,2024-05-11,Delivered,2024-05-19,False,8.0
O000096,C00293,2024-07-21,Placed,,False,
O000097,C00169,2024-01-08,Shipped,,False,
O000098,C00154,2023-05-13,Cancelled,,False,
O000099,C00392,2023-03-14,Returned,2023-03-22,False,8.0
O000100,C00304,2024-03-01,Delivered,2024-03-10,False,9.0
O000101,C00213,2024-06-15,Shipped,,False,
O000102,C00288,2024-01-02,Delivered,2024-01-04,False,2.0
O000103,C00182,2024-03-29,Cancelled,,False,
O000104,C00164,2024-07-17,Delivered,,True,
O000105,C00243,2023-01-23,Cancelled,,False,
O000106,C00328,2023-09-13,Delivered,2023-09-23,False,10.0
O000107,C00082,2024-12-20,Cancelled,,False,
O000108,C00241,2023-02-27,Delivered,2023-03-06,False,7.0
O000109,C00316,2023-01-12,Delivered,2023-01-17,False,5.0
O000110,C00307,2024-09-01,Delivered,2024-09-06,False,5.0
O000111,C00206,2023-03-29,Delivered,2023-04-01,False,3.0
O000112,C00196,2023-11-28,Placed,,False,
O000113,C00398,2024-09-30,Delivered,2024-10-04,False,4.0
O000114,C00326,2023-01-15,Delivered,2023-01-23,False,8.0
O000115,C00059,2024-05-09,Delivered,2024-05-16,False,7.0
O000116,C00371,2024-12-14,Delivered,2024-12-15,False,1.0
O000117,C00111,2024-06-04,Cancelled,,False,
O000118,C00233,2024-07-28,Placed,,False,
O000119,C00399,2023-10-10,Delivered,2023-10-11,False,1.0
O000120,C00009,2024-10-02,Delivered,2024-10-09,False,7.0
O000121,C00230,2024-12-06,Cancelled,,False,
O000122,C00323,2023-05-02,Delivered,2023-05-03,False,1.0
O000123,C00276,2024-08-03,Shipped,,False,
O000124,C00172,2023-05-18,Cancelled,,False,
O000125,C00366,2023-10-04,Shipped,,False,
O000126,C00380,2024-12-05,Cancelled,,False,
O000127,C00143,2023-02-09,Shipped,,False,
O000128,C00232,2023-02-10,Delivered,2023-02-11,False,1.0
O000129,C00049,2024-04-07,Delivered,2024-04-14,False,7.0
O000130,C00161,2024-04-05,Delivered,2024-04-12,False,7.0
O000131,C00151,2024-11-06,Shipped,,False,
O000132,C00204,2024-05-25,Cancelled,,False,
O000133,C00079,2024-07-24,Placed,,False,
O000134,C00316,2023-11-02,Returned,2023-11-05,False,3.0
O000135,C00273,2023-02-06,Delivered,2023-02-13,False,7.0
O000136,C00267,2024-08-08,Delivered,2024-08-15,False,7.0
O000137,C00105,2024-05-24,Cancelled,,False,
O000138,C00378,2023-08-01,Returned,2023-08-07,False,6.0
O000139,C00270,2023-11-04,Delivered,2023-11-06,False,2.0
O000140,C00168,2024-04-30,Delivered,2024-05-08,False,8.0
O000141,C00251,2023-11-20,Delivered,2023-11-26,False,6.0
O000142,C00089,2023-07-11,Shipped,,False,
O000143,C00075,2023-08-10,Delivered,2023-08-14,False,4.0
O000144,C00360,2024-06-12,Shipped,,False,
O000145,C00193,2024-08-31,Delivered,2024-09-02,False,2.0
O000146,C00323,2023-11-23,Delivered,2023-11-26,False,3.0
O000147,C00225,2024-07-09,Delivered,2024-07-14,False,5.0
O000148,C00044,2023-01-30,Cancelled,,False,
O000149,C00143,2024-09-02,Delivered,2024-09-10,False,8.0
O000150,C00060,2024-04-24,Delivered,2024-05-02,False,8.0
O000151,C00140,2024-11-12,Delivered,2024-11-20,False,8.0
O000152,C00166,2023-06-24,Delivered,2023-06-27,False,3.0
O000153,C00169,2023-09-07,Shipped,,False,
O000154,C00099,2024-03-17,Delivered,2024-03-21,False,4.0
O000155,C00137,2024-08-29,Delivered,2024-09-06,False,8.0
O000156,C00010,2024-10-13,Delivered,2024-10-21,False,8.0
O000157,C00373,2023-04-02,Placed,,False,
O000158,C00167,2023-02-01,Delivered,2023-02-07,False,6.0
O000159,C00102,2023-05-09,Placed,,False,
O000160,C00218,2024-03-01,Cancelled,,False,
O000161,C00396,2023-08-31,Delivered,2023-09-10,False,10.0
O000162,C00030,2024-08-17,Returned,2024-08-25,False,8.0
O000163,C00372,2024-11-15,Delivered,2024-11-25,False,10.0
O000164,C00179,2024-04-25,Delivered,2024-05-01,False,6.0
O000165,C00279,2023-02-22,Returned,2023-03-04,False,10.0
O000166,C00099,2023-06-04,Delivered,2023-06-09,False,5.0
O000167,C00084,2024-09-01,Cancelled,,False,
O000168,C00073,2023-02-23,Delivered,2023-03-03,False,8.0
O000169,C00254,2023-01-13,Returned,2023-01-19,False,6.0
O000170,C00054,2024-09-17,Cancelled,,False,
O000171,C00361,2023-12-12,Delivered,,True,
O000172,C00344,2023-10-18,Shipped,,False,
O000173,C00053,2023-05-05,Placed,,False,
O000174,C00247,2024-10-16,Returned,2024-10-23,False,7.0
O000175,C00094,2023-09-29,Delivered,2023-10-03,False,4.0
O000176,C00021,2023-04-19,Delivered,2023-04-21,False,2.0
O000177,C00140,2023-12-04,Delivered,2023-12-12,False,8.0
O000178,C00296,2023-12-08,Delivered,2023-12-10,False,2.0
O000179,C00354,2024-12-13,Cancelled,,False,
O000180,C00109,2023-09-02,Delivered,2023-09-07,False,5.0
O000181,C00251,2024-07-03,Delivered,2024-07-05,False,2.0
O000182,C00387,2024-10-26,Placed,,False,
O000183,C00103,2024-09-22,Placed,,False,
O000184,C00244,2023-02-16,Shipped,,False,
O000185,C00124,2024-08-18,Shipped,,False,
O000186,C00219,2024-12-11,Delivered,2024-12-16,False,5.0
O000187,C00119,2024-07-25,Shipped,,False,
O000188,C00229,2024-06-03,Delivered,2024-06-07,False,4.0
O000189,C00158,2024-11-17,Placed,,False,
O000190,C00317,2023-02-23,Shipped,,False,
O000191,C00271,2023-11-30,Placed,,False,
O000192,C00032,2023-05-29,Returned,2023-06-05,False,7.0
O000193,C00272,2024-04-14,Shipped,,False,
O000194,C00325,2024-05-15,Delivered,,True,
O000195,C00279,2023-01-06,Returned,2023-01-15,False,9.0
O000196,C00071,2024-01-03,Shipped,,False,
O000197,C00363,2024-08-07,Placed,,False,
O000198,C00143,2024-10-10,Cancelled,,False,
O000199,C00060,2024-09-19,Delivered,2024-09-21,False,2.0
O000200,C00272,2024-09-25,Delivered,2024-10-04,False,9.0
O000201,C00307,2024-08-17,Delivered,2024-08-23,False,6.0
O000202,C00345,2024-04-26,Delivered,2024-05-01,False,5.0
O000203,C00326,2023-03-20,Shipped,,False,
O000204,C00039,2023-10-26,Placed,,False,
O000205,C00014,2024-05-12,Delivered,2024-05-21,False,9.0
O000206,C00017,2023-02-18,Delivered,2023-02-21,False,3.0
O000207,C00310,2024-11-13,Shipped,,False,
O000208,C00188,2023-11-21,Shipped,,False,
O000209,C00095,2023-05-29,Returned,2023-06-03,False,5.0
O000210,C00266,2023-05-23,Shipped,,False,
O000211,C00313,2024-11-24,Returned,2024-12-02,False,8.0
O000212,C00174,2024-03-13,Delivered,2024-03-19,False,6.0
O000213,C00197,2023-05-23,Delivered,2023-05-31,False,8.0
O000214,C00239,2024-04-18,Delivered,2024-04-25,False,7.0
O000215,C00354,2024-10-17,Delivered,2024-10-22,False,5.0
O000216,C00151,2024-03-22,Delivered,2024-03-24,False,2.0
O000217,C00141,2023-05-30,Delivered,2023-06-05,False,6.0
O000218,C00264,2024-10-05,Delivered,2024-10-08,False,3.0
O000219,C00152,2023-01-14,Delivered,2023-01-22,False,8.0
O000220,C00215,2024-09-20,Cancelled,,False,
O000221,C00073,2023-05-15,Delivered,2023-05-21,False,6.0
O000222,C00270,2023-05-09,Shipped,,False,
O000223,C00395,2023-07-21,Placed,,False,
O000224,C00154,2023-03-09,Delivered,2023-03-11,False,2.0
O000225,C00084,2023-10-12,Delivered,2023-10-21,False,9.0
O000226,C00083,2023-08-11,Returned,2023-08-13,False,2.0
O000227,C00067,2024-02-22,Delivered,2024-03-01,False,8.0
O000228,C00139,2023-12-02,Shipped,,False,
O000229,C00015,2024-05-02,Shipped,,False,
O000230,C00317,2023-06-22,Delivered,2023-07-02,False,10.0
O000231,C00331,2024-06-07,Shipped,,False,
O000232,C00079,2023-05-18,Placed,,False,
O000233,C00361,2024-05-19,Shipped,,False,
O000234,C00398,2024-04-15,Placed,,False,
O000235,C00388,2024-11-22,Delivered,2024-12-02,False,10.0
O000236,C00041,2024-11-23,Delivered,2024-11-24,False,1.0
O000237,C00317,2024-08-20,Delivered,2024-08-27,False,7.0
O000238,C00007,2023-03-09,Shipped,,False,
O000239,C00320,2023-10-01,Delivered,2023-10-07,False,6.0
O000240,C00354,2024-01-08,Shipped,,False,
O000241,C00064,2023-02-18,Returned,2023-02-22,False,4.0
O000242,C00142,2023-10-07,Delivered,2023-10-14,False,7.0
O000243,C00354,2024-03-19,Delivered,2024-03-24,False,5.0
O000244,C00053,2024-06-29,Cancelled,,False,
O000245,C00338,2023-09-04,Delivered,2023-09-11,False,7.0
O000246,C00298,2023-10-21,Shipped,,False,
O000247,C00230,2024-04-20,Delivered,2024-04-21,False,1.0
O000248,C00331,2023-01-21,Cancelled,,False,
O000249,C00102,2024-11-04,Delivered,2024-11-07,False,3.0
O000250,C00100,2023-09-15,Cancelled,,False,
O000251,C00025,2024-02-04,Returned,2024-02-06,False,2.0
O000252,C00334,2024-05-01,Returned,2024-05-04,False,3.0
O000253,C00002,2023-11-13,Returned,2023-11-15,False,2.0
O000254,C00351,2023-11-05,Returned,2023-11-10,False,5.0
O000255,C00127,2023-03-24,Delivered,2023-03-30,False,6.0
O000256,C00132,2023-03-09,Delivered,2023-03-18,False,9.0
O000257,C00271,2023-06-11,Delivered,2023-06-14,False,3.0
O000258,C00333,2024-01-22,Shipped,,False,
O000259,C00255,2024-03-15,Delivered,2024-03-18,False,3.0
O000260,C00006,2024-11-20,Shipped,,False,
O000261,C00196,2023-07-31,Shipped,,False,
O000262,C00206,2023-08-30,Delivered,2023-09-09,False,10.0
O000263,C00397,2024-07-24,Placed,,False,
O000264,C00102,2024-01-15,Returned,2024-01-25,False,10.0
O000265,C00185,2024-06-27,Shipped,,False,
O000266,C00206,2024-09-19,Delivered,2024-09-22,False,3.0
O000267,C00088,2024-03-22,Returned,2024-03-23,False,1.0
O000268,C00212,2024-07-30,Shipped,,False,
O000269,C00184,2023-09-10,Delivered,2023-09-11,False,1.0
O000270,C00222,2023-11-28,Placed,,False,
O000271,C00091,2024-10-21,Delivered,2024-10-30,False,9.0
O000272,C00307,2024-10-31,Shipped,,False,
O000273,C00145,2023-10-02,Delivered,2023-10-08,False,6.0
O000274,C00100,2023-03-27,Delivered,2023-04-01,False,5.0
O000275,C00388,2023-02-18,Placed,,False,
O000276,C00203,2024-04-18,Delivered,2024-04-19,False,1.0
O000277,C00368,2023-08-05,Placed,,False,
O000278,C00172,2024-04-16,Cancelled,,False,
O000279,C00106,2024-12-13,Cancelled,,False,
O000280,C00075,2024-04-19,Delivered,2024-04-22,False,3.0
O000281,C00358,2024-03-18,Cancelled,,False,
O000282,C00329,2024-06-24,Delivered,2024-06-26,False,2.0
O000283,C00189,2023-12-19,Shipped,,False,
O000284,C00362,2024-10-30,Delivered,2024-11-02,False,3.0
O000285,C00197,2024-05-20,Shipped,,False,
O000286,C00158,2023-06-28,Placed,,False,
O000287,C00349,2024-05-13,Returned,2024-05-14,False,1.0
O000288,C00010,2023-04-24,Delivered,2023-04-26,False,2.0
O000289,C00378,2023-07-30,Shipped,,False,
O000290,C00197,2023-01-07,Cancelled,,False,
O000291,C00307,2024-06-26,Delivered,2024-07-03,False,7.0
O000292,C00281,2023-12-13,Delivered,2023-12-20,False,7.0
O000293,C00141,2024-10-08,Returned,2024-10-17,False,9.0
O000294,C00225,2024-07-11,Delivered,2024-07-17,False,6.0
O000295,C00159,2024-06-07,Delivered,2024-06-10,False,3.0
O000296,C00094,2024-10-04,Delivered,2024-10-12,False,8.0
O000297,C00186,2024-08-18,Delivered,2024-08-27,False,9.0
O000298,C00358,2024-01-22,Delivered,2024-01-28,False,6.0
O000299,C00044,2024-05-02,Delivered,2024-05-11,False,9.0
O000300,C00331,2024-12-29,Shipped,,False,
O000301,C00114,2023-06-10,Delivered,2023-06-20,False,10.0
O000302,C00266,2024-06-19,Shipped,,False,
O000303,C00063,2023-10-18,Shipped,,False,
O000304,C00154,2024-03-03,Delivered,2024-03-09,False,6.0
O000305,C00046,2024-11-11,Delivered,2024-11-18,False,7.0
O000306,C00049,2023-04-01,Delivered,2023-04-06,False,5.0
O000307,C00255,2024-07-08,Delivered,2024-07-17,False,9.0
O000308,C00330,2024-09-13,Delivered,2024-09-19,False,6.0
O000309,C00095,2023-04-02,Delivered,2023-04-05,False,3.0
O000310,C00094,2024-01-20,Placed,,False,
O000311,C00107,2024-04-20,Delivered,2024-04-27,False,7.0
O000312,C00195,2023-04-14,Delivered,2023-04-17,False,3.0
O000313,C00239,2024-04-07,Placed,,False,
O000314,C00111,2023-12-26,Shipped,,False,
O000315,C00344,2024-07-23,Cancelled,,False,
O000316,C00363,2024-09-05,Placed,,False,
O000317,C00220,2024-11-19,Delivered,2024-11-27,False,8.0
O000318,C00102,2024-03-31,Delivered,2024-04-10,False,10.0
O000319,C00356,2023-01-10,Delivered,2023-01-16,False,6.0
O000320,C00161,2024-09-12,Placed,,False,
O000321,C00194,2024-08-25,Delivered,2024-09-03,False,9.0
O000322,C00343,2024-03-13,Delivered,2024-03-19,False,6.0
O000323,C00243,2023-01-06,Shipped,,False,
O000324,C00116,2023-03-06,Delivered,2023-03-07,False,1.0
O000325,C00019,2023-03-16,Delivered,2023-03-24,False,8.0
O000326,C00337,2023-03-08,Placed,,False,
O000327,C00194,2023-04-15,Delivered,2023-04-22,False,7.0
O000328,C00038,2024-11-22,Delivered,2024-11-26,False,4.0
O000329,C00382,2024-08-09,Delivered,2024-08-16,False,7.0
O000330,C00042,2023-05-30,Delivered,2023-06-04,False,5.0
O000331,C00084,2023-02-28,Delivered,2023-03-01,False,1.0
O000332,C00145,2024-12-12,Delivered,2024-12-22,False,10.0
O000333,C00343,2024-10-16,Delivered,2024-10-20,False,4.0
O000334,C00239,2023-04-28,Delivered,2023-04-29,False,1.0
O000335,C00144,2024-07-21,Shipped,,False,
O000336,C00271,2023-12-13,Delivered,2023-12-19,False,6.0
O000337,C00126,2024-10-13,Returned,2024-10-23,False,10.0
O000338,C00380,2023-08-03,Delivered,2023-08-13,False,10.0
O000339,C00026,2024-04-30,Delivered,2024-05-10,False,10.0
O000340,C00063,2024-03-11,Delivered,2024-03-17,False,6.0
O000341,C00097,2023-12-27,Delivered,2024-01-06,False,10.0
O000342,C00139,2023-10-29,Delivered,2023-11-03,False,5.0
O000343,C00275,2023-07-25,Shipped,,False,
O000344,C00220,2023-11-03,Cancelled,,False,
O000345,C00149,2023-08-03,Shipped,,False,
O000346,C00069,2024-01-19,Delivered,2024-01-27,False,8.0
O000347,C00020,2023-01-24,Delivered,2023-01-27,False,3.0
O000348,C00108,2023-03-07,Delivered,2023-03-13,False,6.0
O000349,C00385,2023-10-18,Shipped,,False,
O000350,C00179,2023-06-25,Cancelled,,False,
O000351,C00225,2023-05-14,Delivered,2023-05-22,False,8.0
O000352,C00036,2024-09-11,Delivered,2024-09-19,False,8.0
O000353,C00274,2023-12-22,Delivered,2023-12-25,False,3.0
O000354,C00397,2024-02-07,Shipped,,False,
O000355,C00223,2024-07-20,Returned,2024-07-29,False,9.0
O000356,C00195,2024-04-17,Delivered,2024-04-21,False,4.0
O000357,C00035,2023-12-01,Delivered,2023-12-09,False,8.0
O000358,C00321,2023-03-21,Delivered,2023-03-24,False,3.0
O000359,C00305,2023-02-18,Cancelled,,False,
O000360,C00293,2023-01-05,Delivered,2023-01-09,False,4.0
O000361,C00115,2024-11-27,Shipped,,False,
O000362,C00217,2024-07-29,Shipped,,False,
O000363,C00194,2024-11-04,Delivered,2024-11-06,False,2.0
O000364,C00017,2024-12-11,Delivered,2024-12-17,False,6.0
O000365,C00041,2023-05-08,Shipped,,False,
O000366,C00250,2024-01-20,Delivered,2024-01-30,False,10.0
O000367,C00117,2023-12-06,Shipped,,False,
O000368,C00240,2024-03-28,Placed,,False,
O000369,C00348,2023-07-29,Placed,,False,
O000370,C00370,2023-07-22,Delivered,2023-07-27,False,5.0
O000371,C00355,2024-03-19,Cancelled,,False,
O000372,C00139,2023-11-04,Delivered,2023-11-07,False,3.0
O000373,C00399,2024-01-19,Delivered,2024-01-26,False,7.0
O000374,C00151,2023-06-16,Delivered,2023-06-22,False,6.0
O000375,C00178,2023-01-29,Shipped,,False,
O000376,C00017,2023-04-05,Delivered,2023-04-15,False,10.0
O000377,C00299,2024-03-13,Delivered,2024-03-22,False,9.0
O000378,C00149,2024-02-12,Placed,,False,
O000379,C00219,2024-06-21,Delivered,2024-06-24,False,3.0
O000380,C00156,2024-08-03,Shipped,,False,
O000381,C00070,2023-06-20,Delivered,2023-06-25,False,5.0
O000382,C00362,2023-04-14,Placed,,False,
O000383,C00395,2023-04-10,Delivered,2023-04-18,False,8.0
O000384,C00188,2024-02-13,Delivered,2024-02-19,False,6.0
O000385,C00008,2023-01-27,Shipped,,False,
O000386,C00203,2023-07-12,Returned,,True,
O000387,C00162,2024-09-13,Delivered,2024-09-15,False,2.0
O000388,C00174,2024-05-31,Shipped,,False,
O000389,C00332,2023-09-07,Shipped,,False,
O000390,C00004,2023-06-14,Cancelled,,False,
O000391,C00330,2024-10-10,Placed,,False,
O000392,C00392,2024-01-26,Delivered,2024-02-02,False,7.0
O000393,C00109,2023-07-12,Delivered,2023-07-19,False,7.0
O000394,C00224,2024-02-02,Delivered,2024-02-05,False,3.0
O000395,C00022,2023-08-13,Delivered,2023-08-16,False,3.0
O000396,C00007,2023-05-07,Returned,2023-05-15,False,8.0
O000397,C00174,2023-08-04,Delivered,2023-08-12,False,8.0
O000398,C00050,2024-02-05,Placed,,False,
O000399,C00263,2024-12-27,Delivered,2025-01-04,False,8.0
O000400,C00322,2023-04-15,Delivered,2023-04-18,False,3.0
O000401,C00262,2023-05-01,Delivered,2023-05-04,False,3.0
O000402,C00386,2024-01-27,Delivered,2024-01-28,False,1.0
O000403,C00037,2023-08-19,Delivered,2023-08-27,False,8.0
O000404,C00005,2024-10-22,Delivered,2024-10-24,False,2.0
O000405,C00375,2024-05-15,Delivered,2024-05-17,False,2.0
O000406,C00119,2024-07-22,Cancelled,,False,
O000407,C00065,2024-06-02,Delivered,2024-06-09,False,7.0
O000408,C00097,2023-10-28,Delivered,2023-11-03,False,6.0
O000409,C00213,2023-05-18,Delivered,2023-05-23,False,5.0
O000410,C00152,2024-07-02,Placed,,False,
O000411,C00364,2023-06-07,Returned,2023-06-08,False,1.0
O000412,C00231,2024-10-17,Delivered,2024-10-22,False,5.0
O000413,C00216,2023-05-07,Delivered,2023-05-17,False,10.0
O000414,C00077,2024-02-03,Delivered,2024-02-12,False,9.0
O000415,C00344,2024-10-16,Delivered,2024-10-26,False,10.0
O000416,C00336,2023-11-09,Delivered,2023-11-11,False,2.0
O000417,C00357,2023-01-11,Delivered,2023-01-14,False,3.0
O000418,C00186,2023-01-08,Delivered,2023-01-12,False,4.0
O000419,C00195,2024-06-20,Shipped,,False,
O000420,C00030,2023-12-13,Cancelled,,False,
O000421,C00064,2023-08-07,Delivered,2023-08-11,False,4.0
O000422,C00031,2023-02-28,Placed,,False,
O000423,C00023,2023-07-22,Delivered,2023-07-29,False,7.0
O000424,C00150,2023-04-22,Delivered,2023-04-25,False,3.0
O000425,C00123,2024-11-13,Returned,2024-11-18,False,5.0
O000426,C00253,2023-06-09,Delivered,2023-06-13,False,4.0
O000427,C00016,2024-09-24,Delivered,2024-09-26,False,2.0
O000428,C00209,2024-09-17,Shipped,,False,
O000429,C00084,2024-03-12,Delivered,2024-03-19,False,7.0
O000430,C00205,2023-04-23,Delivered,2023-04-30,False,7.0
O000431,C00203,2023-11-26,Delivered,2023-12-06,False,10.0
O000432,C00121,2024-11-30,Delivered,2024-12-06,False,6.0
O000433,C00316,2023-05-04,Delivered,2023-05-08,False,4.0
O000434,C00115,2024-03-04,Delivered,2024-03-13,False,9.0
O000435,C00209,2023-01-23,Delivered,2023-01-26,False,3.0
O000436,C00280,2024-05-21,Cancelled,,False,
O000437,C00212,2023-07-31,Placed,,False,
O000438,C00318,2024-06-21,Delivered,2024-06-26,False,5.0
O000439,C00214,2023-05-17,Cancelled,,False,
O000440,C00228,2023-03-27,Delivered,2023-04-02,False,6.0
O000441,C00122,2023-06-30,Returned,2023-07-10,False,10.0
O000442,C00367,2024-03-20,Shipped,,False,
O000443,C00051,2024-02-08,Shipped,,False,
O000444,C00077,2023-01-13,Placed,,False,
O000445,C00021,2023-02-14,Shipped,,False,
O000446,C00222,2024-07-09,Cancelled,,False,
O000447,C00065,2023-01-22,Shipped,,False,
O000448,C00174,2023-04-26,Shipped,,False,
O000449,C00126,2024-06-27,Delivered,2024-06-30,False,3.0
O000450,C00110,2023-03-20,Cancelled,,False,
O000451,C00030,2024-08-14,Returned,2024-08-16,False,2.0
O000452,C00337,2024-02-28,Delivered,2024-03-03,False,4.0
O000453,C00245,2023-01-18,Delivered,2023-01-20,False,2.0
O000454,C00320,2023-09-06,Cancelled,,False,
O000455,C00227,2024-12-13,Delivered,2024-12-23,False,10.0
O000456,C00388,2024-03-02,Delivered,2024-03-05,False,3.0
O000457,C00218,2023-02-02,Delivered,2023-02-03,False,1.0
O000458,C00159,2024-06-18,Returned,2024-06-25,False,7.0
O000459,C00088,2024-05-03,Delivered,2024-05-10,False,7.0
O000460,C00167,2023-06-16,Shipped,,False,
O000461,C00341,2024-10-15,Shipped,,False,
O000462,C00344,2023-12-31,Delivered,2024-01-09,False,9.0
O000463,C00250,2024-11-29,Placed,,False,
O000464,C00399,2024-06-12,Delivered,2024-06-18,False,6.0
O000465,C00110,2024-11-30,Shipped,,False,
O000466,C00204,2023-04-10,Shipped,,False,
O000467,C00321,2023-10-30,Placed,,False,
O000468,C00008,2023-05-07,Delivered,2023-05-12,False,5.0
O000469,C00235,2024-02-28,Delivered,2024-02-29,False,1.0
O000470,C00113,2023-01-09,Cancelled,,False,
O000471,C00050,2024-04-22,Delivered,2024-04-30,False,8.0
O000472,C00194,2023-11-21,Returned,2023-11-29,False,8.0
