order_id,customer_id,order_date,status,delivery_date,_ingested_at,_source_file
O000040,C00284,2023-08-29,DELIVERED,2023-09-04,2026-08-09T06:46:32.194049+00:00,orders.csv
O000041,C00321,2023-01-05,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000042,C00276,2023-03-25,CANCELLED,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000043,C00157,2024-02-19,shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000044,C00280,2024-01-08,Placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000045,C00151,2024-11-06,Delivered,2024-11-12,2026-08-09T06:46:32.194049+00:00,orders.csv
O000046,C00266,2024-10-26,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000047,C00190,2023-03-21,Delivered,2023-03-25,2026-08-09T06:46:32.194049+00:00,orders.csv
O000048,C00117,2023-03-20,Delivered,2023-03-23,2026-08-09T06:46:32.194049+00:00,orders.csv
O000049,C00176,2023-04-27,Delivered,2023-05-07,2026-08-09T06:46:32.194049+00:00,orders.csv
O000050,C00094,2023-07-04,Returned,2023-07-14,2026-08-09T06:46:32.194049+00:00,orders.csv
O000051,C00328,2023-07-06,Delivered,2023-07-12,2026-08-09T06:46:32.194049+00:00,orders.csv
O000052,C00267,2023-01-17,Delivered,2023-01-24,2026-08-09T06:46:32.194049+00:00,orders.csv
O000053,C00182,2023-02-09,delivered,2023-02-12,2026-08-09T06:46:32.194049+00:00,orders.csv
O000054,C00312,2023-02-14,Delivered,2023-02-22,2026-08-09T06:46:32.194049+00:00,orders.csv
O000055,C00040,2024-02-23,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000056,C00080,2024-01-20,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000057,C00278,2024-07-19,Delivered,2024-07-28,2026-08-09T06:46:32.194049+00:00,orders.csv
O000058,C00123,2023-04-13,Delivered,2023-04-22,2026-08-09T06:46:32.194049+00:00,orders.csv
O000059,C00119,2023-04-04,Delivered,2023-04-06,2026-08-09T06:46:32.194049+00:00,orders.csv
O000060,C00076,2024-09-20,Delivered,2024-09-30,2026-08-09T06:46:32.194049+00:00,orders.csv
O000061,C00011,2024-09-05,Delivered,2024-09-08,2026-08-09T06:46:32.194049+00:00,orders.csv
O000062,C00118,2024-08-23,Delivered,2024-08-25,2026-08-09T06:46:32.194049+00:00,orders.csv
O000063,C00319,2024-08-11,Delivered,2024-08-13,2026-08-09T06:46:32.194049+00:00,orders.csv
O000064,C00398,2024-01-22,Delivered,2024-01-28,2026-08-09T06:46:32.194049+00:00,orders.csv
O000065,C00278,2023-12-28,Delivered,2024-01-02,2026-08-09T06:46:32.194049+00:00,orders.csv
O000066,C00086,2024-05-02,Delivered,2024-05-07,2026-08-09T06:46:32.194049+00:00,orders.csv
O000067,C00225,2023-08-23,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000068,C00003,2024-01-16,Delivered,2024-01-26,2026-08-09T06:46:32.194049+00:00,orders.csv
O000069,C00114,2024-05-29,Delivered,2024-06-01,2026-08-09T06:46:32.194049+00:00,orders.csv
O000070,C00007,2023-01-09,Delivered,2023-01-11,2026-08-09T06:46:32.194049+00:00,orders.csv
O000071,C00201,2024-03-05,Delivered,2024-03-13,2026-08-09T06:46:32.194049+00:00,orders.csv
O000072,C00239,2024-03-18,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000073,C00287,2024-06-13,Delivered,2024-06-18,2026-08-09T06:46:32.194049+00:00,orders.csv
O000074,C00068,2023-08-09,Delivered,2023-08-17,2026-08-09T06:46:32.194049+00:00,orders.csv
O000075,C00322,2024-10-27,Delivered,2024-11-01,2026-08-09T06:46:32.194049+00:00,orders.csv
O000076,C00009,2024-08-08,CANCELLED,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000077,C00241,2024-01-07,Delivered,2024-01-10,2026-08-09T06:46:32.194049+00:00,orders.csv
O000078,C00304,2024-12-18,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000079,C00227,2024-02-11,delivered,2024-02-21,2026-08-09T06:46:32.194049+00:00,orders.csv
O000080,C00228,2024-05-02,Returned,2024-05-07,2026-08-09T06:46:32.194049+00:00,orders.csv
O000081,C00070,2024-07-31,Delivered,2024-08-05,2026-08-09T06:46:32.194049+00:00,orders.csv
O000082,C00035,2023-12-19,delivered,2023-12-27,2026-08-09T06:46:32.194049+00:00,orders.csv
O000083,C00294,2024-10-23,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000084,C00009,2024-12-11,Delivered,2024-12-16,2026-08-09T06:46:32.194049+00:00,orders.csv
O000085,C00053,2024-04-11,Delivered,2024-04-19,2026-08-09T06:46:32.194049+00:00,orders.csv
O000086,C00028,2023-07-10,delivered,2023-07-11,2026-08-09T06:46:32.194049+00:00,orders.csv
O000087,C00396,2024-01-16,DELIVERED,2024-01-19,2026-08-09T06:46:32.194049+00:00,orders.csv
O000088,C00398,2023-09-11,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000089,C00057,2023-11-16,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000090,C00177,2024-01-05,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000091,C00066,2023-10-10,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000092,C00145,2024-12-05,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000093,C00383,2024-10-02,Placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000094,C00147,2024-10-22,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000095,C00266,2024-05-11,Delivered,2024-05-19,2026-08-09T06:46:32.194049+00:00,orders.csv
O000096,C00293,2024-07-21,placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000097,C00169,2024-01-08,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000098,C00154,2023-05-13,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000099,C00392,2023-03-14,Returned,2023-03-22,2026-08-09T06:46:32.194049+00:00,orders.csv
O000100,C00304,2024-03-01,delivered,2024-03-10,2026-08-09T06:46:32.194049+00:00,orders.csv
O000101,C00213,2024-06-15,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000102,C00288,2024-01-02,Delivered,2024-01-04,2026-08-09T06:46:32.194049+00:00,orders.csv
O000103,C00182,2024-03-29,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000104,C00164,2024-07-17,Delivered,2024-07-16,2026-08-09T06:46:32.194049+00:00,orders.csv
O000105,C00243,2023-01-23,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000106,C00328,2023-09-13,Delivered,2023-09-23,2026-08-09T06:46:32.194049+00:00,orders.csv
O000107,C00082,2024-12-20,cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000108,C00241,2023-02-27,Delivered,2023-03-06,2026-08-09T06:46:32.194049+00:00,orders.csv
O000109,C00316,2023-01-12,Delivered,2023-01-17,2026-08-09T06:46:32.194049+00:00,orders.csv
O000110,C00307,2024-09-01,Delivered,2024-09-06,2026-08-09T06:46:32.194049+00:00,orders.csv
O000111,C00206,2023-03-29,Delivered,2023-04-01,2026-08-09T06:46:32.194049+00:00,orders.csv
O000112,C00196,2023-11-28,Placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000113,C00398,2024-09-30,Delivered,2024-10-04,2026-08-09T06:46:32.194049+00:00,orders.csv
O000114,C00326,2023-01-15,delivered,2023-01-23,2026-08-09T06:46:32.194049+00:00,orders.csv
O000115,C00059,2024-05-09,DELIVERED,2024-05-16,2026-08-09T06:46:32.194049+00:00,orders.csv
O000116,C00371,2024-12-14,Delivered,2024-12-15,2026-08-09T06:46:32.194049+00:00,orders.csv
O000117,C00111,2024-06-04,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000118,C00233,2024-07-28,Placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000119,C00399,2023-10-10,Delivered,2023-10-11,2026-08-09T06:46:32.194049+00:00,orders.csv
O000120,C00009,2024-10-02,Delivered,2024-10-09,2026-08-09T06:46:32.194049+00:00,orders.csv
O000121,C00230,2024-12-06,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000122,C00323,2023-05-02,Delivered,2023-05-03,2026-08-09T06:46:32.194049+00:00,orders.csv
O000123,C00276,2024-08-03,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000124,C00172,2023-05-18,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000125,C00366,2023-10-04,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000126,C00380,2024-12-05,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000127,C00143,2023-02-09,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000128,C00232,2023-02-10,Delivered,2023-02-11,2026-08-09T06:46:32.194049+00:00,orders.csv
O000129,C00049,2024-04-07,DELIVERED,2024-04-14,2026-08-09T06:46:32.194049+00:00,orders.csv
O000130,C00161,2024-04-05,Delivered,2024-04-12,2026-08-09T06:46:32.194049+00:00,orders.csv
O000131,C00151,2024-11-06,SHIPPED,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000132,C00204,2024-05-25,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000133,C00079,2024-07-24,placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000134,C00316,2023-11-02,returned,2023-11-05,2026-08-09T06:46:32.194049+00:00,orders.csv
O000135,C00273,2023-02-06,Delivered,2023-02-13,2026-08-09T06:46:32.194049+00:00,orders.csv
O000136,C00267,2024-08-08,delivered,2024-08-15,2026-08-09T06:46:32.194049+00:00,orders.csv
O000137,C00105,2024-05-24,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000138,C00378,2023-08-01,Returned,2023-08-07,2026-08-09T06:46:32.194049+00:00,orders.csv
O000139,C00270,2023-11-04,Delivered,2023-11-06,2026-08-09T06:46:32.194049+00:00,orders.csv
O000140,C00168,2024-04-30,Delivered,2024-05-08,2026-08-09T06:46:32.194049+00:00,orders.csv
O000141,C00251,2023-11-20,Delivered,2023-11-26,2026-08-09T06:46:32.194049+00:00,orders.csv
O000142,C00089,2023-07-11,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000143,C00075,2023-08-10,DELIVERED,2023-08-14,2026-08-09T06:46:32.194049+00:00,orders.csv
O000144,C00360,2024-06-12,shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000145,C00193,2024-08-31,Delivered,2024-09-02,2026-08-09T06:46:32.194049+00:00,orders.csv
O000146,C00323,2023-11-23,Delivered,2023-11-26,2026-08-09T06:46:32.194049+00:00,orders.csv
O000147,C00225,2024-07-09,Delivered,2024-07-14,2026-08-09T06:46:32.194049+00:00,orders.csv
O000148,C00044,2023-01-30,cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000149,C00143,2024-09-02,Delivered,2024-09-10,2026-08-09T06:46:32.194049+00:00,orders.csv
O000150,C00060,2024-04-24,Delivered,2024-05-02,2026-08-09T06:46:32.194049+00:00,orders.csv
O000151,C00140,2024-11-12,Delivered,2024-11-20,2026-08-09T06:46:32.194049+00:00,orders.csv
O000152,C00166,2023-06-24,Delivered,2023-06-27,2026-08-09T06:46:32.194049+00:00,orders.csv
O000153,C00169,2023-09-07,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000154,C00099,2024-03-17,Delivered,2024-03-21,2026-08-09T06:46:32.194049+00:00,orders.csv
O000155,C00137,2024-08-29,Delivered,2024-09-06,2026-08-09T06:46:32.194049+00:00,orders.csv
O000156,C00010,2024-10-13,Delivered,2024-10-21,2026-08-09T06:46:32.194049+00:00,orders.csv
O000157,C00373,2023-04-02,Placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000158,C00167,2023-02-01,Delivered,2023-02-07,2026-08-09T06:46:32.194049+00:00,orders.csv
O000159,C00102,2023-05-09,Placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000160,C00218,2024-03-01,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000161,C00396,2023-08-31,Delivered,2023-09-10,2026-08-09T06:46:32.194049+00:00,orders.csv
O000162,C00030,2024-08-17,returned,2024-08-25,2026-08-09T06:46:32.194049+00:00,orders.csv
O000163,C00372,2024-11-15,Delivered,2024-11-25,2026-08-09T06:46:32.194049+00:00,orders.csv
O000164,C00179,2024-04-25,Delivered,2024-05-01,2026-08-09T06:46:32.194049+00:00,orders.csv
O000165,C00279,2023-02-22,Returned,2023-03-04,2026-08-09T06:46:32.194049+00:00,orders.csv
O000166,C00099,2023-06-04,Delivered,2023-06-09,2026-08-09T06:46:32.194049+00:00,orders.csv
O000167,C00084,2024-09-01,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000168,C00073,2023-02-23,Delivered,2023-03-03,2026-08-09T06:46:32.194049+00:00,orders.csv
O000169,C00254,2023-01-13,Returned,2023-01-19,2026-08-09T06:46:32.194049+00:00,orders.csv
O000170,C00054,2024-09-17,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000171,C00361,2023-12-12,DELIVERED,2023-12-11,2026-08-09T06:46:32.194049+00:00,orders.csv
O000172,C00344,2023-10-18,SHIPPED,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000173,C00053,2023-05-05,Placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000174,C00247,2024-10-16,Returned,2024-10-23,2026-08-09T06:46:32.194049+00:00,orders.csv
O000175,C00094,2023-09-29,Delivered,2023-10-03,2026-08-09T06:46:32.194049+00:00,orders.csv
O000176,C00021,2023-04-19,DELIVERED,2023-04-21,2026-08-09T06:46:32.194049+00:00,orders.csv
O000177,C00140,2023-12-04,Delivered,2023-12-12,2026-08-09T06:46:32.194049+00:00,orders.csv
O000178,C00296,2023-12-08,Delivered,2023-12-10,2026-08-09T06:46:32.194049+00:00,orders.csv
O000179,C00354,2024-12-13,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000180,C00109,2023-09-02,Delivered,2023-09-07,2026-08-09T06:46:32.194049+00:00,orders.csv
O000181,C00251,2024-07-03,Delivered,2024-07-05,2026-08-09T06:46:32.194049+00:00,orders.csv
O000182,C00387,2024-10-26,Placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000183,C00103,2024-09-22,Placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000184,C00244,2023-02-16,shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000185,C00124,2024-08-18,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000186,C00219,2024-12-11,Delivered,2024-12-16,2026-08-09T06:46:32.194049+00:00,orders.csv
O000187,C00119,2024-07-25,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000188,C00229,2024-06-03,Delivered,2024-06-07,2026-08-09T06:46:32.194049+00:00,orders.csv
O000189,C00158,2024-11-17,Placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000190,C00317,2023-02-23,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000191,C00271,2023-11-30,Placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000192,C00032,2023-05-29,Returned,2023-06-05,2026-08-09T06:46:32.194049+00:00,orders.csv
O000193,C00272,2024-04-14,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000194,C00325,2024-05-15,Delivered,2024-05-13,2026-08-09T06:46:32.194049+00:00,orders.csv
O000195,C00279,2023-01-06,returned,2023-01-15,2026-08-09T06:46:32.194049+00:00,orders.csv
O000196,C00071,2024-01-03,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000197,C00363,2024-08-07,Placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000198,C00143,2024-10-10,cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000199,C00060,2024-09-19,Delivered,2024-09-21,2026-08-09T06:46:32.194049+00:00,orders.csv
O000200,C00272,2024-09-25,DELIVERED,2024-10-04,2026-08-09T06:46:32.194049+00:00,orders.csv
O000201,C00307,2024-08-17,Delivered,2024-08-23,2026-08-09T06:46:32.194049+00:00,orders.csv
O000202,C00345,2024-04-26,Delivered,2024-05-01,2026-08-09T06:46:32.194049+00:00,orders.csv
O000203,C00326,2023-03-20,SHIPPED,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000204,C00039,2023-10-26,Placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000205,C00014,2024-05-12,Delivered,2024-05-21,2026-08-09T06:46:32.194049+00:00,orders.csv
O000206,C00017,2023-02-18,Delivered,2023-02-21,2026-08-09T06:46:32.194049+00:00,orders.csv
O000207,C00310,2024-11-13,shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000208,C00188,2023-11-21,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000209,C00095,2023-05-29,returned,2023-06-03,2026-08-09T06:46:32.194049+00:00,orders.csv
O000210,C00266,2023-05-23,SHIPPED,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000211,C00313,2024-11-24,Returned,2024-12-02,2026-08-09T06:46:32.194049+00:00,orders.csv
O000212,C00174,2024-03-13,delivered,2024-03-19,2026-08-09T06:46:32.194049+00:00,orders.csv
O000213,C00197,2023-05-23,delivered,2023-05-31,2026-08-09T06:46:32.194049+00:00,orders.csv
O000214,C00239,2024-04-18,DELIVERED,2024-04-25,2026-08-09T06:46:32.194049+00:00,orders.csv
O000215,C00354,2024-10-17,Delivered,2024-10-22,2026-08-09T06:46:32.194049+00:00,orders.csv
O000216,C00151,2024-03-22,Delivered,2024-03-24,2026-08-09T06:46:32.194049+00:00,orders.csv
O000217,C00141,2023-05-30,Delivered,2023-06-05,2026-08-09T06:46:32.194049+00:00,orders.csv
O000218,C00264,2024-10-05,Delivered,2024-10-08,2026-08-09T06:46:32.194049+00:00,orders.csv
O000219,C00152,2023-01-14,Delivered,2023-01-22,2026-08-09T06:46:32.194049+00:00,orders.csv
O000220,C00215,2024-09-20,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000221,C00073,2023-05-15,Delivered,2023-05-21,2026-08-09T06:46:32.194049+00:00,orders.csv
O000222,C00270,2023-05-09,SHIPPED,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000223,C00395,2023-07-21,Placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000224,C00154,2023-03-09,Delivered,2023-03-11,2026-08-09T06:46:32.194049+00:00,orders.csv
O000225,C00084,2023-10-12,DELIVERED,2023-10-21,2026-08-09T06:46:32.194049+00:00,orders.csv
O000226,C00083,2023-08-11,RETURNED,2023-08-13,2026-08-09T06:46:32.194049+00:00,orders.csv
O000227,C00067,2024-02-22,Delivered,2024-03-01,2026-08-09T06:46:32.194049+00:00,orders.csv
O000228,C00139,2023-12-02,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000229,C00015,2024-05-02,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000230,C00317,2023-06-22,DELIVERED,2023-07-02,2026-08-09T06:46:32.194049+00:00,orders.csv
O000231,C00331,2024-06-07,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000232,C00079,2023-05-18,PLACED,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000233,C00361,2024-05-19,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000234,C00398,2024-04-15,Placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000235,C00388,2024-11-22,Delivered,2024-12-02,2026-08-09T06:46:32.194049+00:00,orders.csv
O000236,C00041,2024-11-23,Delivered,2024-11-24,2026-08-09T06:46:32.194049+00:00,orders.csv
O000237,C00317,2024-08-20,Delivered,2024-08-27,2026-08-09T06:46:32.194049+00:00,orders.csv
O000238,C00007,2023-03-09,shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000239,C00320,2023-10-01,Delivered,2023-10-07,2026-08-09T06:46:32.194049+00:00,orders.csv
O000240,C00354,2024-01-08,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000241,C00064,2023-02-18,Returned,2023-02-22,2026-08-09T06:46:32.194049+00:00,orders.csv
O000242,C00142,2023-10-07,Delivered,2023-10-14,2026-08-09T06:46:32.194049+00:00,orders.csv
O000243,C00354,2024-03-19,Delivered,2024-03-24,2026-08-09T06:46:32.194049+00:00,orders.csv
O000244,C00053,2024-06-29,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000245,C00338,2023-09-04,Delivered,2023-09-11,2026-08-09T06:46:32.194049+00:00,orders.csv
O000246,C00298,2023-10-21,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000247,C00230,2024-04-20,Delivered,2024-04-21,2026-08-09T06:46:32.194049+00:00,orders.csv
O000248,C00331,2023-01-21,cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000249,C00102,2024-11-04,Delivered,2024-11-07,2026-08-09T06:46:32.194049+00:00,orders.csv
O000250,C00100,2023-09-15,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000251,C00025,2024-02-04,Returned,2024-02-06,2026-08-09T06:46:32.194049+00:00,orders.csv
O000252,C00334,2024-05-01,Returned,2024-05-04,2026-08-09T06:46:32.194049+00:00,orders.csv
O000253,C00002,2023-11-13,Returned,2023-11-15,2026-08-09T06:46:32.194049+00:00,orders.csv
O000254,C00351,2023-11-05,Returned,2023-11-10,2026-08-09T06:46:32.194049+00:00,orders.csv
O000255,C00127,2023-03-24,Delivered,2023-03-30,2026-08-09T06:46:32.194049+00:00,orders.csv
O000256,C00132,2023-03-09,Delivered,2023-03-18,2026-08-09T06:46:32.194049+00:00,orders.csv
O000257,C00271,2023-06-11,Delivered,2023-06-14,2026-08-09T06:46:32.194049+00:00,orders.csv
O000258,C00333,2024-01-22,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000259,C00255,2024-03-15,delivered,2024-03-18,2026-08-09T06:46:32.194049+00:00,orders.csv
O000260,C00006,2024-11-20,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000261,C00196,2023-07-31,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000262,C00206,2023-08-30,Delivered,2023-09-09,2026-08-09T06:46:32.194049+00:00,orders.csv
O000263,C00397,2024-07-24,Placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000264,C00102,2024-01-15,Returned,2024-01-25,2026-08-09T06:46:32.194049+00:00,orders.csv
O000265,C00185,2024-06-27,SHIPPED,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000266,C00206,2024-09-19,Delivered,2024-09-22,2026-08-09T06:46:32.194049+00:00,orders.csv
O000267,C00088,2024-03-22,Returned,2024-03-23,2026-08-09T06:46:32.194049+00:00,orders.csv
O000268,C00212,2024-07-30,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000269,C00184,2023-09-10,Delivered,2023-09-11,2026-08-09T06:46:32.194049+00:00,orders.csv
O000270,C00222,2023-11-28,Placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000271,C00091,2024-10-21,DELIVERED,2024-10-30,2026-08-09T06:46:32.194049+00:00,orders.csv
O000272,C00307,2024-10-31,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000273,C00145,2023-10-02,delivered,2023-10-08,2026-08-09T06:46:32.194049+00:00,orders.csv
O000274,C00100,2023-03-27,delivered,2023-04-01,2026-08-09T06:46:32.194049+00:00,orders.csv
O000275,C00388,2023-02-18,PLACED,,2026-08-09T06:46:32.194049+00:00,orders.csv
